"PK","CCR","HIERARCHY","INCIDENTTIME","INCIDENTLOCATION","CLEAREDFLAG","INCIDENTNEIGHBORHOOD","INCIDENTZONE","INCIDENTHIERARCHYDESC","OFFENSES","INCIDENTTRACT","COUNCIL_DISTRICT","PUBLIC_WORKS_DIVISION","X","Y"
2910026,17078147,99,"2017-04-30T02:49:00","1600 Block Wightman ST Pittsburgh, PA 15217","Y","Squirrel Hill North","4",NA,"9999 Miscellaneous Report (No Crime)",1401,8,3,-79.9277996203559,40.439499037465
2851676,16150159,99,"2016-08-11T06:00:00","1400 Block Alton ST Pittsburgh, PA 15216","N","Beechview","6",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1916,4,5,-80.02117303,40.41302129
3027018,18180021,99,"2018-09-05T23:15:00","Wood ST & 5th AV Pittsburgh, PA 15222","N","Central Business District","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",201,6,6,-80.00039431,40.44074746
2964533,17242632,6,"2017-12-02T02:05:00","4000 Block Butler ST Pittsburgh, PA 15201","N","Central Lawrenceville","2","THEFT FROM BUILDING","3921 Theft by Unlawful Taking or Disposition.",901,7,2,-79.9616773921585,40.4686930757733
2081442,5013129,99,"2005-01-26T09:40:00","N GRAHAM ST & BROAD ST PITTSBURGH, PA ","N","Highland Park","5",NA,"9999 Miscellaneous Report (No Crime)",1104,9,2,-79.93466077,40.46543373
2969528,17205593,18,"2017-10-17T08:00:00","900 Block BRUSHTON AV PITTSBURGH, PA 15208","Y","Homewood North","5","MARIJUANA-POSSESS","13(a)(31) Marijuana: Possession Small Amount",1302,9,2,-79.8880184785673,40.4555239662205
2845263,16133010,24,"2016-07-17T21:46:00","Penn AV & S Braddock AV Pittsburgh, PA 15221","Y","Point Breeze","4","OBSTRUCT HIGHWAYS/PUB PASSAGES","5507 Obstructing Highways and Passages. / 9501 Bench Warrant",1406,9,3,-79.8951617,40.44713269
2990538,18069639,24,"2018-04-15T01:50:00","Sarah ST & S 15th ST Pittsburgh, PA 15203","Y","South Side Flats","3","DISORDERLY CONDUCT","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",1702,3,3,-79.98346909,40.42762536
2822282,16062608,99,"2016-04-07T13:45:00","4th AV & Wood ST Pittsburgh, PA 15222","Y","Golden Triangle/Civic Arena","2",NA,"9504 Lost Property",201,6,6,-80.00130155,40.43937902
2838778,16109875,10,"2016-06-13T23:00:00","4000 Block Butler ST Pittsburgh, PA 15201","N","Central Lawrenceville","2","TERRORISTIC THREATS","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",901,7,2,-79.96167739,40.46869308
2937804,17131485,99,"2017-07-12T23:59:00","1800 Block LETSCHE ST PITTSBURGH, PA 15212","Y","Allegheny Center","1",NA,"2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older",2204,6,1,-80.0082388684758,40.4626284883318
2966334,17238912,99,"2017-11-30T15:00:00","1600 Block MANHATTAN ST PITTSBURGH, PA 15233","N","Manchester","1",NA,"2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older",2107,6,1,-80.0268643612245,40.455905510025
2824011,16066592,99,"2016-04-13T14:20:00","5th AV & 6th AV Pittsburgh, PA 15219","N","Golden Triangle/Civic Arena","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",201,6,6,-79.99466204,40.43894734
2902409,17055656,14,"2017-03-28T12:00:00","5700 Block Forbes AV Pittsburgh, PA 15217","N","Squirrel Hill South","4","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1413,5,3,-79.925215431196,40.437388891209
2989360,18064620,99,"2018-04-08T00:50:00","P J McGardle RDWY Pittsburgh, PA 15210","Y","Mount Washington","3",NA,"9999 Miscellaneous Report (No Crime)",1914,NA,NA,0,0
2983786,18028638,6,"2018-02-14T10:06:00","5400 Block Black ST Pittsburgh, PA 15206","N","East Liberty","5","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",1113,9,2,-79.93279281,40.47042797
3046263,18242120,3,"2018-12-09T17:19:00","1300 Block Woodland AV Pittsburgh, PA 15212","Y","Marshall-Shadeland","1","ROBBERY/RESIDENCE/STRONGARM","2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 3502 Burglary. / 3701 Robbery. / 3702 Robbery of Motor Vehicle. / 4952 Intimidation of Witnesses or Victims / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",2715,1,1,-80.0302691717884,40.4692307933161
2835766,16101677,11,"2016-06-02T11:51:00","500 Block Boggston AV Pittsburgh, PA 15210","N","Beltzhoover","3","THEFT BY DECEPTION","3922 Theft by Deception. / 4106 Access Device Fraud",1809,3,4,-80.01010362,40.41656195
2978775,18035382,99,"2018-02-23T18:35:00","2400 Block E Carson ST Pittsburgh, PA 15203","Y","South Side Flats","3",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",1609,3,3,-79.97079297,40.42790815
2838580,16112092,18,"2016-06-17T13:35:00","100 Block Ravilla AV Pittsburgh, PA 15210","Y","Carrick","3","OPIUM/COCAINE/DERV-POSSESS","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment",2904,4,4,-79.98666925,40.38860744
2088590,5038403,10,"2005-03-12T20:00:00","0 Block S MARKET PL PITTSBURGH, PA ","N","South Side Flats","2","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",101,6,6,-80.00456711,40.43785026
2968738,18005185,10,"2018-01-09T13:20:00","300 Block Marshall AV Pittsburgh, PA 15214","Y","Perry South","1","TERRORISTIC THREATS","2706 Terroristic Threats. / 2709(a) Harassment. / 2709(b) Stalking",2615,1,1,-80.01561843,40.47404618
2802388,16000126,10,"2016-01-01T02:05:00","Broadway AV & Shiras AV Pittsburgh, PA 15216","Y","Beechview","6","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1920,4,5,-80.03027909,40.40391362
2846693,16138295,10,"2016-07-26T01:50:00","300 Block Blvd Of The Allies Pittsburgh, PA 15222","Y","Golden Triangle/Civic Arena","2","HARRASSMENT/THREAT/ATTEMPT/PHY","2709 Harassment (Non-Specific)",201,6,6,-80.00185334,40.43809116
2881382,16236441,14,"2016-12-24T11:25:00","400 Block Semple ST Pittsburgh, PA 15213","N","Central Oakland","4","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",406,3,3,-79.95499122,40.43692944
2959506,17221444,7,"2017-11-15T17:25:00","500 Block Oakwood ST Pittsburgh, PA 15221","N","East Hills","5","MTR VEH THEFT (AUTO)","3921 Theft by Unlawful Taking or Disposition.",1306,9,2,-79.8837419172263,40.4490728414973
2809476,16021925,99,"2016-02-05T16:35:00","6900 Block Bennett ST Pittsburgh, PA 15208","Y","Homewood West","5",NA,"9496 Dead on Arrival (DOA)",1207,9,2,-79.90434792,40.45799376
2968184,18000524,14,"2018-01-01T19:05:00","3100 Block Frederick ST Pittsburgh, PA 15212","N","Marshall-Shadeland","1","CRIMINAL MISCHIEF","3304 Criminal Mischief.",2715,1,1,-80.03077936,40.47338548
2847460,16141236,24,"2016-07-30T01:50:00","S 15th ST & E Carson ST Pittsburgh, PA 15203","Y","South Side Flats","3","DISORDERLY CONDUCT","5503 Disorderly Conduct.",1702,3,4,-79.98342493,40.42881518
2100055,5085639,6,"2005-05-16T09:30:00","7100 Block VERONA RD PITTSBURGH, PA ","N","Lincoln-Lemington-Belmar","5","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition. / 4101 Forgery.",1201,9,2,-79.88745096,40.47547772
2885311,17006565,16,"2017-01-11T19:20:00","400 Block Tripoli ST Pittsburgh, PA 15212","Y","East Allegheny","1","PROSTITUTION RELATED OFFENSES","5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of",2304,1,1,-80.0024543520704,40.4557474243635
2870780,16206750,99,"2016-11-02T13:00:00","1200 Block Troy Hill RD Pittsburgh, PA 15212","Y","Troy Hill","1",NA,"9496 Dead on Arrival (DOA)",2406,1,1,-79.98909895,40.45767804
2984290,18050152,99,"2018-03-17T21:30:00","200 Block Station Square DR Pittsburgh, PA 15219","N","South Shore","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1921,2,5,-80.00574336,40.43420932
2125668,5193446,18,"2005-09-29T22:48:00","3100 Block ALLENDALE ST PITTSBURGH, PA ","Y","Lower Lawrenceville","3","OPIUM/COCAINE/DERV(SALE/MFG)","3323 Stop Signs and Yield Signs. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance",2004,2,5,-80.05989421,40.45439171
2802363,16000101,23,"2016-01-01T01:42:00","500 Block East Ohio ST Pittsburgh, PA 15212","Y","East Allegheny","1","PUBLIC DRUNKENESS","5505 Public Drunkenness",2304,1,1,-80.00057528,40.45353917
2844558,16131472,99,"2016-07-15T15:20:00","Penn AV & S Beatty ST Pittsburgh, PA 15206","Y","East Liberty","5",NA,"9497 Aided Case",1115,9,2,-79.92683453,40.46212987
2950092,17194839,99,"2017-10-09T12:18:00","200 Block S Negley AV Pittsburgh, PA 15206","Y","East Liberty","5",NA,"9498 302 (Mental)",1115,9,2,-79.9301223565353,40.4645638945659
2811867,16030108,10,"2016-02-18T22:40:00","8200 Block Bennett ST Pittsburgh, PA 15221","Y","East Hills","5","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1306,9,2,-79.88059371,40.45494266
2102578,5097419,5,"2005-06-02T14:18:00","1200 Block BUENA VISTA ST PITTSBURGH, PA ","Y","Allentown","1","BURGLARY/FORCE ENT/RES","3502 Burglary.",2202,1,1,-80.01354558,40.45482191
2914140,17089488,99,"2017-05-16T21:00:00","600 Block General Robinson ST Pittsburgh, PA 15212","N","North Shore","1",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",2205,1,1,-79.9979525014845,40.4494816551374
2129996,5211243,9,"2005-10-24T14:10:00","200 Block BELTZHOOVER AV PITTSBURGH, PA 15210","N","Allentown","3","FORGERY/COUNTERFEITING/OTHER","4101 Forgery.",1803,3,4,-79.99755441,40.42063438
3054119,19014276,99,"2019-01-22T22:11:00","1600 Block Fallowfield AV Pittsburgh, PA 15216","N","Beechview","6",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1920,4,5,-80.0239689958174,40.4104873024514
2865455,16194668,23,"2016-10-15T00:40:00","S 16th ST & E Carson ST Pittsburgh, PA 15203","Y","South Side Flats","3","PUBLIC DRUNKENESS","5505 Public Drunkenness",1702,3,4,-79.98271222,40.4288317
3091421,19133502,6,"2019-07-07T08:00:00","300 Block Bigelow ST Pittsburgh, PA 15207","N","Greenfield","4","THEFT FROM AUTO","3934 Theft from Vehicle",1516,7,3,-79.9667057961974,40.4553008827159
3046251,18241794,15,"2018-12-09T03:51:00","Hamilton AV & Putnam ST Pittsburgh, PA 15206","Y","Larimer","5","CONVICT NOT TO OWN/MAN/USE/SELL FIREARMS","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount",1208,9,2,-79.9131312057691,40.458829712564
2860132,16167557,10,"2016-09-05T19:34:00","600 Block E Warrington AV Pittsburgh, PA 15210","Y","Allentown","3","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1803,3,4,-79.99720377,40.42155201
3012581,18136689,11,"2018-07-18T13:26:00","700 Block Brookline BL Pittsburgh, PA 15226","N","Brookline","6","FRAUD DEST/REM/CONC REC INSTRU","4103 Fraud. Destruct., Remov. or Conceal.of Record. Instr.",1919,4,5,-80.02169563,40.39459114
3011663,18135429,6,"2018-07-16T00:01:00","2600 Block Brighton RD Pittsburgh, PA 15212","N","Marshall-Shadeland","1","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",2715,6,1,-80.02518066,40.46809383
3080888,19103647,99,"2019-05-29T19:48:00","2900 Block Brighton RD Pittsburgh, PA 15212","Y","Marshall-Shadeland","1",NA,"9497 Aided Case",2715,1,1,-80.0270291384735,40.4717951395979
2090806,5047392,5,"2005-03-26T13:30:00","2000 Block PIONEER AV PITTSBURGH, PA ","Y","Highland Park","3","BURGLARY/FORCE ENT/RES","3502 Burglary.",1908,4,4,-80.01605429,40.40269775
2817072,16045355,21,"2016-03-13T06:00:00","1300 Block Westfield ST Pittsburgh, PA 15216","Y","Beechview","6","DRIVING UNDER INFLUENCE","3736 Reckless Driving / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%",1916,4,5,-80.01943286,40.41409137
3086635,19120742,99,"2019-06-20T19:15:00","1200 Block Dagmar AV Pittsburgh, PA 15216","Y","Beechview","6",NA,"9497 Aided Case",1916,4,5,-80.0234457199518,40.4167720315397
2098526,5083658,99,"2005-05-15T13:11:00","SHARPSBURGH PITTSBURGH, PA ","Y","Outside City","OUTSIDE",NA,"9999 Miscellaneous Report (No Crime)",5599,NA,NA,0,0
2107032,5118179,6,"2005-06-27T09:14:00","1300 Block FULTON ST PITTSBURGH, PA ","Y","Point Breeze","1","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",2103,6,1,-80.02454023,40.45389776
3065407,19049763,99,"2019-03-17T20:11:00","300 Block Belonda ST Pittsburgh, PA 15211","N","Mount Washington","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1914,2,5,-80.0112216183909,40.4298984926202
2834035,16097405,99,"2016-05-27T13:17:00","6000 Block Stanton AV Pittsburgh, PA 15206","Y","Highland Park","5",NA,"9999 Miscellaneous Report (No Crime)",1106,9,2,-79.92106835,40.46964403
3047866,18248317,99,"2018-12-18T13:15:00","Arion ST Pittsburgh, PA 15211","Y","Mount Washington","3",NA,"9496 Dead on Arrival (DOA)",1915,4,5,-80.0127570373077,40.4205660828953
2095605,5068089,21,"2005-04-24T02:53:00","2000 Block SMALLMAN ST PITTSBURGH, PA 15222","Y","South Side Flats","2","DRIVING UNDER INFLUENCE","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%",202,7,6,-79.98446259,40.4516526
2902692,17052842,5,"2017-03-24T13:45:00","10 Block Camfield ST Pittsburgh, PA 15210","N","Bon Air","3","BURGLARY/FORCE ENT/RES","3502 Burglary.",1806,4,4,-79.9973673659834,40.4108865163505
2952711,17207261,6,"2017-10-25T16:02:00","4600 Block Friendship AV Pittsburgh, PA 15224","N","Bloomfield","5","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition. / 4101 Forgery.",903,7,2,-79.9504244061057,40.464406559336
2092414,5052898,99,"2005-04-03T17:05:00","1700 Block GREENLEAF ST PITTSBURGH, PA ","Y","Larimer","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",2010,2,5,-80.02654162,40.43888919
2978028,18033259,26,"2018-02-20T21:26:00","3100 Block Cordell PL Pittsburgh, PA 15203","Y","Arlington Heights","3","LOITERING PROWLING AT NIGHT","5506 Loitering and Prowling at Night / 1501 Drivers Required to be Licensed. / 3112 Traffic-Control Signals. / 3323 Stop Signs and Yield Signs. / 9501 Bench Warrant / 3733 Fleeing or Attempting to Elude Police Officer / 3734 Driving without Lights to Avoid Identification or Arrest / 3736 Reckless Driving / 3745 Accidents Involving Damage to Unattended Veh.or Prop.",1604,3,3,-79.96341784,40.41766931
2137495,5237124,26,"2005-12-01T19:42:00","5300 Block CORNWALL ST PITTSBURGH, PA ","Y","Homewood South","5","CRIMINAL TRESPASS","3502 Burglary.",1006,9,2,-79.93766455,40.47006222
2990303,18070565,14,"2018-04-16T15:15:00","5000 Block Penn AV Pittsburgh, PA 15224","N","Bloomfield","5","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",809,9,2,-79.9431879,40.46506932
2969727,18006342,99,"2018-01-11T08:00:00","2100 Block Mazette PL Pittsburgh, PA 15205","N","Fairywood","6",NA,"4304(a)(1) Endangering Welfare of Children. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace ",2808,2,5,-80.08450333,40.44605158
2922769,17117689,6,"2017-06-25T16:58:00","600 Block East Ohio ST Pittsburgh, PA 15212","N","East Allegheny","1","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",2304,1,1,-79.9989747580949,40.453969822993
2105538,5110359,15,"2005-06-17T22:50:00","1300 Block LAKE ST PITTSBURGH, PA 15233","Y","Allentown","1","FIREARMS NOT TO BE CARRIED WO LICENSE","6106.1 Carrying Loaded Weapons Other Than Firearms",2101,6,1,-80.02586162,40.45758247
2965475,17244424,99,"2017-12-20T11:40:00","100 Block Sanctus ST Pittsburgh, PA 15220","Y","West End","6",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",2019,2,5,-80.0328294376688,40.4416167172069
2927523,17129933,9,"2017-07-12T13:00:00","1900 Block Centre AV Pittsburgh, PA 15219","N","Crawford-Roberts","2","FORGERY/COUNTERFEITING/OTHER","4101 Forgery.",305,NA,NA,0,0
2095088,5065867,10,"2005-04-20T23:00:00","2100 Block E CARSON ST PITTSBURGH, PA 15203","N","South Side Flats","3","SIMPLE ASSAULT/INJURY","2709 Harassment (Non-Specific)",1702,3,4,-79.97606866,40.42830665
3000730,18099776,99,"2018-05-27T09:56:00","1900 Block Penn AV Pittsburgh, PA 15222","Y","Strip District","2",NA,"9489 Found Property",203,7,6,-79.98428489,40.45089316
2830573,16085156,10,"2016-05-09T23:55:00","5300 Block Kincaid ST Pittsburgh, PA 15224","Y","Garfield","5","SIMPLE ASSAULT/INJURY","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1017,9,2,-79.93801052,40.46654046
2919383,17107315,23,"2017-06-11T07:00:00","2200 Block East ST Pittsburgh, PA 15214","Y","Spring Hill-City View","1","PUBLIC DRUNKENESS","5505 Public Drunkenness",2620,NA,NA,0,0
3076835,19086500,99,"2019-05-07T19:31:00","1600 Block Lincoln AV Pittsburgh, PA 15206","N","Lincoln-Lemington-Belmar","5",NA,"3736 Reckless Driving / 3745 Accidents Involving Damage to Unattended Veh.or Prop.",1202,9,2,-79.8926109149366,40.4704180298878
3028192,18186209,99,"2018-09-21T16:47:00","1400 Block Locust ST Pittsburgh, PA 15219","Y","Bluff","2",NA,"9999 Miscellaneous Report (No Crime)",103,6,3,-79.9854587,40.43604397
2905945,17047249,99,"2017-03-16T09:51:00","Stafford ST & Stanhope ST Pittsburgh, PA 15204","Y","Esplen","6",NA,"9999 Miscellaneous Report (No Crime)",2017,2,5,-80.056843581479,40.4634046943489
3005279,18119124,99,"2018-06-21T22:15:00","2000 Block Centre AV Pittsburgh, PA 15219","Y","Crawford-Roberts","2",NA,"9501 Bench Warrant",305,6,3,-79.97998241,40.44358891
2115333,5153987,26,"2005-08-10T19:30:00","5300 Block HOLMES ST PITTSBURGH, PA ","N","Squirrel Hill North","2","CRIMINAL TRESPASS","3503 Criminal Trespass",1001,7,2,-79.95007573,40.48049636
3050078,18254912,99,"2018-12-29T11:00:00","5500 Block Centre AV Pittsburgh, PA 15232","Y","Shadyside","4",NA,"9999 Miscellaneous Report (No Crime)",709,7,2,-79.9364623699551,40.4565877817342
2838961,16111255,99,"2016-06-15T11:00:00","1400 Block Bellaire PL Pittsburgh, PA 15226","N","Brookline","6",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",3206,4,4,-80.00928778,40.39297029
2963561,17239396,2,"2017-11-05T02:00:00","Zone 6","N","","6","RAPE BY FORCE","3123 Involuntary Deviate Sexual Intercourse.",NA,NA,NA,NA,NA
2937946,17164579,6,"2017-08-28T21:30:00","1400 Block Faulsey WY Pittsburgh, PA 15233","N","Manchester","1","THEFT BICYCLES","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2107,6,1,-80.0256465406084,40.4517937411627
3074260,19077848,99,"2019-04-26T10:10:00","10 Block Morse WY Pittsburgh, PA 15207","Y","Hazelwood","4",NA,"9999 Miscellaneous Report (No Crime)",1515,5,3,-79.9408389190162,40.4100908461456
2885502,17000258,99,"2017-01-01T10:00:00","2000 Block Mt Pisgah PL Pittsburgh, PA 15205","N","Westwood","6",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",2811,2,5,-80.0471440525564,40.427065700388
2995981,18084234,3,"2018-05-06T07:12:00","Harpster ST & Lager ST Pittsburgh, PA 15212","N","Troy Hill","1","ROBBERY/HIGHWAY/GUN","2702 Aggravated Assault. / 3701 Robbery.",2406,NA,NA,0,0
2844079,16125577,24,"2016-07-06T14:00:00","5000 Block Lougean AV Pittsburgh, PA 15207","Y","Lincoln Place","4","HARRASSMENT BY COMUN/ADDRESS","2709(a) Harassment. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3102,5,3,-79.91370839,40.37398177
2857568,16169280,26,"2016-09-07T22:00:00","100 Block Hazlett ST Pittsburgh, PA 15214","N","Northview Heights","1","UNAUTHORIZED USE VEHICLE/AUTO","3928 Unauthorized Use of Automobile and Other Vehicles.",2609,1,1,-80.00307697,40.4759708
2949172,17193425,11,"2017-10-04T12:00:00","100 Block Claus AV Pittsburgh, PA 15227","N","Carrick","3","CREDIT CARDS","4106 Access Device Fraud",2904,4,4,-79.9795924537506,40.3833286494412
2814388,16032243,99,"2016-02-22T01:17:00","1400 Block Washington BL Pittsburgh, PA 15206","Y","Highland Park","5",NA,"9498 302 (Mental)",1106,9,2,-79.90854001,40.47045991
3058087,19023895,6,"2018-11-14T00:01:00","100 Block 5th AV Pittsburgh, PA 15222","N","Central Business District","2","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition. / 3922 Theft by Deception. / 4101 Forgery.",201,6,6,-80.0028765755338,40.4414141263058
2854197,16159241,99,"2016-08-24T21:05:00","100 Block Station Square DR Pittsburgh, PA 15219","N","South Shore","3",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",1921,2,5,-80.00371413,40.43306478
2982168,18043553,99,"2018-03-07T20:21:00","800 Block E Warrington AV Pittsburgh, PA 15210","Y","Allentown","3",NA,"9489 Found Property",1803,3,5,-79.99357756,40.42153188
3012167,18133612,99,"2018-07-14T01:07:00","9th Street Bridge Pittsburgh, PA 15222","Y","Central Business District","2",NA,"9497 Aided Case",201,NA,NA,0,0
2828190,16080634,99,"2016-05-03T10:45:00","Fort Duquesne Blvd RAMP & 10th St Byp RAMP Pittsburgh, PA 15222","Y","Golden Triangle/Civic Arena","2",NA,"9489 Found Property",201,NA,NA,0,0
2120545,5171941,26,"2005-09-02T01:25:00","W NORTH AV & MONTEREY ST PITTSBURGH, PA ","Y","Carrick","1","DRUG PARAPHERNALIA","13(a)(32) Paraphernalia - Use or Possession",2202,1,1,-80.0126088,40.45433405
2805542,16012508,6,"2016-01-19T06:18:00","3200 Block Juliet ST Pittsburgh, PA 15213","N","South Oakland","4","THEFT/PROP-LOST/MISLAID/DEL","3921 Theft by Unlawful Taking or Disposition. / 4101 Forgery.",409,3,3,-79.95663901,40.43164687
2817356,16046851,99,"2016-03-15T17:45:00","S 20th ST & E Carson ST Pittsburgh, PA 15203","Y","South Side Flats","3",NA,"9501 Bench Warrant",1702,3,4,-79.97763595,40.42858782
2829373,16083727,99,"2016-05-06T11:00:00","1400 Block Fallowfield AV Pittsburgh, PA 15216","N","Beechview","6",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1916,4,5,-80.02416982,40.41426716
2859094,16173230,6,"2016-09-13T13:30:00","500 Block Penn AV Pittsburgh, PA 15222","N","Central Business District","2","THEFT/PICK POCKET","3921(a) Theft by Unlawful Taking or Disposition - Movable item",201,6,6,-80.00411265,40.44227309
2101039,5086567,10,"2005-05-19T15:10:00","FORBES AV & MURRAY AV PITTSBURGH, PA ","Y","Squirrel Hill South","4","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1408,5,3,-79.92298427,40.43805623
3061851,19039040,6,"2019-02-28T14:30:00","800 Block Milton ST Pittsburgh, PA 15218","N","Windgap","5","THEFT FROM BUILDING","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2807,NA,NA,0,0
2896740,17036431,99,"2017-02-27T15:25:00","Penn AV & N.Beatty ST Pittsburgh, PA 15206","N","East Liberty","5",NA,"3743 Accidents Involving Damage to Attended Veh. or Property / 3745 Accidents Involving Damage to Unattended Veh.or Prop.",1115,9,2,-79.9268345279441,40.4621298715649
2963484,17240125,6,"2017-12-14T01:45:00","7000 Block Forward AV Pittsburgh, PA 15217","N","Squirrel Hill South","4","THEFT FROM AUTO","3304 Criminal Mischief. / 3921 Theft by Unlawful Taking or Disposition.",1408,5,3,-79.9069575358777,40.4274392096662
2963236,17235955,15,"2017-12-07T19:02:00","Western AV & Bidwell ST Pittsburgh, PA 15233","Y","Manchester","1","FIREARMS NOT TO BE CARRIED WO LICENSE","4703 Retaliation for Past Official Action. / 5123 Contraband. / 6106 Firearms not to be Carried without a License. / 1301 Registration and Certificate of Title Required. / 4706 Prohib. on Expend. for Emission Insp Prog.. / 13(a)(31) Marijuana: Possession Small Amount",2107,6,1,-80.0200706052826,40.4512990466945
3049280,18252987,99,"2018-12-26T02:21:00","4700 Block Cypress ST Pittsburgh, PA 15224","Y","Bloomfield","5",NA,"9496 Dead on Arrival (DOA)",802,7,2,-79.9490282942057,40.4598643541501
2969937,18009091,99,"2018-01-15T11:30:00","3200 Block Penn AV Pittsburgh, PA 15201","N","Strip District","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",203,7,6,-79.96965032,40.46068548
2820306,16057895,10,"2016-03-31T23:19:00","500 Block Sheridan AV Pittsburgh, PA 15206","Y","East Liberty","5","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a) Harassment.",1113,9,2,-79.9206286,40.4655366
2854473,16160488,99,"2016-08-26T14:08:00","Bates ST & Boulevard of the Allies Pittsburgh, PA 15213","Y","South Oakland","4",NA,"9999 Miscellaneous Report (No Crime)",409,3,3,-79.95640735,40.43512392
2824135,16069399,10,"2016-04-17T10:50:00","7300 Block Hamilton AV Pittsburgh, PA 15208","Y","Homewood South","5","SIMPLE ASSAULT/INJURY","2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.",1303,9,2,-79.89564429,40.45401652
3013469,18140896,6,"2018-07-23T20:00:00","800 Block Cherokee ST Pittsburgh, PA 15219","N","Upper Hill","2","THEFT FROM AUTO","3934 Theft from Vehicle",506,6,3,-79.96087254,40.45134408
2998352,18094167,18,"2018-05-19T20:33:00","East Liberty BL & Hamilton AV Pittsburgh, PA 15206","Y","East Liberty","5","MARIJUANA-POSSESS","3334 Turning Movements and Required Signals. / 13(a)(31) Marijuana: Possession Small Amount",1115,9,2,-79.91577098,40.45985821
2871049,16209496,26,"2016-11-06T12:04:00","2900 Block Frederick ST Pittsburgh, PA 15212","N","Marshall-Shadeland","1","UNAUTHORIZED USE VEHICLE/AUTO","3928 Unauthorized Use of Automobile and Other Vehicles.",2715,1,1,-80.02995603,40.47088421
3012403,18133738,7,"2018-07-14T06:22:00","4600 Block Carlton ST Pittsburgh, PA 15201","N","Central Lawrenceville","2","MTR VEH THEFT (AUTO)","3921(a) Theft by Unlawful Taking or Disposition - Movable item",902,7,2,-79.95604903,40.47087747
