"","PK","CCR","HIERARCHY","INCIDENTTIME","INCIDENTLOCATION","CLEAREDFLAG","INCIDENTNEIGHBORHOOD","INCIDENTZONE","INCIDENTHIERARCHYDESC","OFFENSES","INCIDENTTRACT","COUNCIL_DISTRICT","PUBLIC_WORKS_DIVISION","X","Y"
"1368",3046131,18239917,6,"2018-12-06T12:20:00","Dollar ST & Centre AV Pittsburgh, PA 15213","N","North Oakland","4","THEFT FROM AUTO","3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",507,8,3,-79.9526937784786,40.4516881905849
"1369",2979681,18036252,26,"2018-02-25T00:25:00","Sarah ST & S 20th ST Pittsburgh, PA 15203","Y","South Side Flats","3","ALL OTHER OFFENSES(EXPT TRAFF)","601.16 Public Urination And Defecation",1702,3,3,-79.97772777,40.42766893
"1370",2836870,16104886,10,"2016-06-06T22:07:00","900 Block Lysle ST Pittsburgh, PA 15212","Y","California-Kirkbride","1","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",2507,6,1,-80.01914221,40.45970421
"1371",2871318,16208785,99,"2016-11-05T11:30:00","30 Block Natchez ST Pittsburgh, PA 15211","N","Mount Washington","3",NA,"9496 Dead on Arrival (DOA)",1914,2,5,-80.0083572,40.42879576
"1372",2943868,17180007,99,"2017-09-10T20:00:00","7800 Block BENNETT ST PITTSBURGH, PA 15221","N","Homewood South","5",NA,"2701 Simple Assault.",1304,9,2,-79.8866960200819,40.4539870581096
"1373",2823378,16063068,14,"2016-04-08T08:15:00","3200 Block Faronia ST Pittsburgh, PA 15204","N","Sheraden","6","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",2022,2,5,-80.06635734,40.45160189
"1374",2841444,16114011,14,"2016-06-18T13:40:00","200 Block S Mathilda ST Pittsburgh, PA 15224","N","Bloomfield","5","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",809,7,2,-79.94679158,40.46502427
"1375",3048097,18249402,3,"2018-12-19T22:57:00","300 Block Mc Kee PL Pittsburgh, PA 15213","N","Central Oakland","4","ROBBERY/HIGHWAY/GUN","2701 Simple Assault. / 3701 Robbery.",405,3,3,-79.9577063860126,40.4383720870111
"1376",2950549,17199558,26,"2017-10-15T17:30:00","Marmaduke PK Pittsburgh, PA 15212","N","Brighton Heights","1","KIDNAPPING","2901 Kidnapping.",2701,NA,NA,0,0
"1377",3033463,18202172,3,"2018-10-12T08:55:00","1000 Block Tweed ST Pittsburgh, PA 15204","N","Sheraden","6","ROBBERY/RESIDENCE/STRONGARM","3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",2022,2,5,-80.06250668,40.45662257
"1378",3063303,19041387,99,"2019-03-04T01:14:00","300 Block Station Square DR Pittsburgh, PA 15219","Y","South Shore","3",NA,"9501 Bench Warrant",1921,2,5,-80.0069907151145,40.4349870298907
"1379",2904174,17058550,6,"2017-04-01T15:30:00","2600 Block Winchester RD Pittsburgh, PA 15220","N","Brookline","6","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",1918,2,5,-80.044137945154,40.4119649848861
"1380",2102910,5099459,99,"2005-06-04T19:27:00","200 Block 9TH ST PITTSBURGH, PA ","N","Golden Triangle/Civic Arena","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",201,6,6,-79.99840713,40.44371299
"1381",2117848,5162721,99,"2005-08-20T18:34:00","25TH ST & CAREY WY PITTSBURGH, PA ","N","Carrick","3",NA,"949401 Accident (Non-Reportable)",1601,3,4,-79.97001249,40.42739868
"1382",2814300,16031497,99,"2016-02-20T20:52:00","Allegheny River BL & Washington BL Pittsburgh, PA 15147","Y","Lincoln-Lemington-Belmar","5",NA,"9999 Miscellaneous Report (No Crime)",1201,7,2,-79.90784633,40.484269
"1383",2802508,16003166,99,"2016-01-04T23:23:00","600 Block Greenfield AV Pittsburgh, PA 15217","N","Greenfield","4",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1517,5,3,-79.93974531,40.4261384
"1384",2085674,5026503,14,"2005-02-13T01:05:00","ELLSWORTH AV & SOMMERLEA ST PITTSBURGH, PA ","Y","Squirrel Hill South","4","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",704,NA,NA,0,0
"1385",3092161,19138340,4,"2019-07-13T22:12:00","100 Block South Commons Pittsburgh, PA 15212","N","Allegheny Center","1","AGG ASSAULT/GUN/INJURY","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person.",2204,1,1,-80.0051923989784,40.4510114242591
"1386",2971039,18011758,99,"2018-01-19T11:00:00","4800 Block Mooney RD Pittsburgh, PA 15207","Y","New Homestead","4",NA,"9496 Dead on Arrival (DOA)",3103,5,3,-79.92371901,40.37916962
"1387",2804256,16008794,99,"2016-01-06T18:00:00","300 Block S Main ST Pittsburgh, PA 15220","N","West End","6",NA,"9124 Drug Investigation",2019,7,2,-79.95794436,40.46737503
"1388",2863179,16185463,11,"2013-02-18T12:00:00","1100 Block Ridgeland DR Pittsburgh, PA 15212","N","Marshall-Shadeland","1","IDENTITY THEFT","4120 Identity Theft",2704,1,1,-80.02608563,40.46588408
"1389",2885877,17008470,6,"2017-01-13T15:00:00","600 Block William Penn PL Pittsburgh, PA 15219","N","Central Business District","2","THEFT/ALL OTHERS","3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-79.9962537598721,40.4413985483977
"1390",3058933,19025640,99,"2019-02-08T22:05:00","E Sycamore ST & Lava ST Pittsburgh, PA 15219","N","South Shore","3",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",1921,2,5,-80.0046480847049,40.428743937652
"1391",2916316,17096297,6,"2017-05-26T00:01:00","6200 Block Meadow ST Pittsburgh, PA 15206","N","Larimer","5","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud / 4120 Identity Theft",1208,9,2,-79.9116066439985,40.4627748468285
"1392",2135618,5233319,99,"2005-11-25T20:00:00","200 Block LELIA ST PITTSBURGH, PA ","Y","Homewood West","3",NA,"9497 Aided Case",1905,2,5,-80.01029985,40.4218219
"1393",3004018,18114233,99,"2018-06-15T13:05:00","Reedsdale St RAMP & Reedsdale ST Pittsburgh, PA 15212","Y","North Shore","1",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",2205,6,1,-80.02392297,40.44868174
"1394",2093378,5058902,24,"2005-04-11T01:08:00","4900 Block FRIENDSHIP AV PITTSBURGH, PA ","N","Bloomfield","5","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",809,7,2,-79.94509725,40.46204345
"1395",2945645,17186742,3,"2017-09-28T10:05:00","600 Block Smithfield ST Pittsburgh, PA 15219","N","Central Business District","2","ROBBERY/BANK/ STRONGARM","3701 Robbery.",201,6,6,-79.9974055086456,40.44152525429
"1396",2109207,5132908,7,"2005-07-15T10:20:00","7100 Block EVERTON ST PITTSBURGH, PA 15208","N","Lincoln-Lemington-Belmar","5","MTR VEH THEFT (AUTO)","3921 Theft by Unlawful Taking or Disposition.",1202,9,2,-79.89240698,40.46288431
"1397",3081797,19104707,6,"2019-05-31T06:39:00","Plymouth ST & Grandview AV Pittsburgh, PA 15211","N","Duquesne Heights","3","THEFT FROM AUTO","3304 Criminal Mischief. / 3934 Theft from Vehicle",1911,2,5,-80.0204548331436,40.4388372592903
"1398",2885017,17007104,99,"2017-01-11T13:18:00","4300 Block Mc Caslin ST Pittsburgh, PA 15217","Y","Greenfield","4",NA,"9999 Miscellaneous Report (No Crime)",1517,5,3,-79.9373179191013,40.4212437119883
"1399",3040843,18225251,99,"2018-11-14T20:49:00","6400 Block Clifford ST Pittsburgh, PA 15206","Y","Lincoln-Lemington-Belmar","5",NA,"9999 Miscellaneous Report (No Crime)",1203,9,2,-79.90674295,40.47032878
"1400",3051563,19003118,10,"2019-01-05T17:55:00","2100 Block Brownsville RD Pittsburgh, PA 15210","Y","Carrick","3","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a) Harassment.",2901,4,3,-79.9865235535491,40.3931998334253
"1401",2981873,18042018,99,"2018-03-05T14:35:00","Whited ST & Bellaire AV Pittsburgh, PA 15226","N","Brookline","6",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",3206,4,5,-80.01319622,40.39302364
"1402",2824715,16068304,6,"2016-04-15T21:45:00","Allegheny SQ Pittsburgh, PA 15212","N","Allegheny Center","1","THEFT FROM AUTO","3934 Theft from Vehicle",2204,1,6,-80.01801474,40.44895425
"1403",2122862,5182518,14,"2005-09-15T17:24:00","5000 Block 2ND AV PITTSBURGH, PA ","N","Central Lawrenceville","4","CRIMINAL MISCHIEF","3304 Criminal Mischief.",1505,5,3,-79.94389782,40.40823336
"1404",2806934,16011051,99,"2016-01-18T20:30:00","5600 Block Forward AV Pittsburgh, PA 15217","Y","Squirrel Hill South","4",NA,"9497 Aided Case",1414,5,3,-79.92709834,40.4277518
"1405",3034515,18211485,10,"2018-10-24T06:25:00","5th AV & Strawberry WY Pittsburgh, PA 15222","Y","Central Business District","2","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,NA,NA,0,0
"1406",2089973,5044412,99,"2005-03-22T09:15:00","500 Block BLACKSTONE ST PITTSBURGH, PA ","Y","Allegheny Center","4",NA,"9999 Miscellaneous Report (No Crime)",1505,5,3,-79.93506135,40.41609939
"1407",2957184,17221841,24,"2017-11-11T18:00:00","100 Block S 15th ST Pittsburgh, PA 15203","Y","South Side Flats","3","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",1702,3,4,-79.983531354788,40.4279461013099
"1408",2942999,17178390,7,"2017-09-16T22:20:00","3300 Block Cargill ST Pittsburgh, PA 15219","N","Polish Hill","2","MTR VEH THEFT (AUTO)","3928 Unauthorized Use of Automobile and Other Vehicles.",605,7,6,-79.9634775892453,40.4576203136103
"1409",3046217,18240588,13,"2018-12-07T11:09:00","1900 Block Arlington AV Pittsburgh, PA 15210","Y","South Side Slopes","3","RECEIVING STOLEN PROPERTY","3925 Receiving Stolen Property. / 1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility. / 4703 Operation of Vehicle without Official Certif. of Inspection / 4706 Prohib. on Expend. for Emission Insp Prog..",1706,3,3,-79.9805121134754,40.4175120788998
"1410",2106052,5111933,10,"2005-06-19T21:36:00","1900 Block BROADWAY AV PITTSBURGH, PA ","N","Squirrel Hill South","3","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1907,4,5,-80.0272307,40.40721107
"1411",2878694,16230016,21,"2016-12-09T22:35:00","Forbes AV & Liberty Brg RAMP Pittsburgh, PA 15219","Y","Bluff","2","DRIVING UNDER INFLUENCE","3334 Turning Movements and Required Signals. / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%",103,NA,NA,0,0
"1412",2093092,5056105,6,"2005-04-07T23:30:00","1200 Block ARLINGTON AV PITTSBURGH, PA ","N","Allentown","3","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft. / 4101 Forgery.",1802,3,4,-79.9922516,40.42179872
"1413",2846855,16137485,10,"2016-07-24T18:39:00","3400 Block Sipe ST Pittsburgh, PA 15212","Y","Brighton Heights","1","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",2703,1,1,-80.03741124,40.47751619
"1414",2849717,16146651,3,"2016-08-07T01:30:00","2000 Block Penn AV Pittsburgh, PA 15222","N","Strip District","2","ROBBERY/HIGHWAY/STRONGARM","2701 Simple Assault. / 3701 Robbery.",203,7,6,-79.98357825,40.45097636
"1415",2994692,18085084,15,"2018-05-07T16:29:00","Perrysville AV & Federal EXT Pittsburgh, PA 15214","Y","Perry South","1","POSSESSION OF FIREARM BY MINOR","5121 Escape. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 6110.1 Possesion of Firearm by Minor",2614,6,1,-80.01010741,40.46700514
"1416",2940614,17169076,99,"2017-09-03T21:10:00","2100 Block Park Hill DR Pittsburgh, PA 15221","Y","East Hills","5",NA,"9012 Non-Violent Domestic",1306,9,2,-79.8740214028157,40.4529526639559
"1417",2866801,16198523,99,"2016-10-20T23:20:00","S 19th ST & Wharton ST Pittsburgh, PA 15203","Y","South Side Flats","3",NA,"1301 Registration and Certificate of Title Required. / 1501 Drivers Required to be Licensed.",1702,3,4,-79.97895862,40.4304755
"1418",3006959,18123665,99,"2018-06-29T15:40:00","I-376 RAMP & Blvd Of The Allies Pittsburgh, PA 15219","N","Central Business District","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",201,NA,NA,0,0
"1419",2982109,18043340,6,"2018-03-07T14:30:00","500 Block Liberty AV Pittsburgh, PA 15222","N","Central Business District","2","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",201,6,6,-80.00347705,40.44123457
"1420",2937010,17162036,6,"2017-08-25T12:30:00","1100 Block Brownsville RD Pittsburgh, PA 15210","N","Carrick","3","RETAIL THEFT (SHOPLIFTING)","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",2902,4,4,-79.990899233621,40.4049393618559
"1421",2997992,18093054,10,"2018-05-18T10:40:00","Samantha WY & Sharp WY Pittsburgh, PA 15206","N","East Liberty","5","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1113,9,2,-79.92747955,40.47041628
"1422",2990252,18069396,5,"2018-04-14T19:55:00","500 Block Kemp ST Pittsburgh, PA 15220","N","Westwood","6","BURGLARY/FORCE ENT/RES","3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item",2811,2,5,-80.04319004,40.43065794
"1423",3061577,19037499,99,"2019-02-26T07:00:00","20 Block Penelope ST Pittsburgh, PA 15211","N","Mount Washington","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1914,2,5,-80.0126650471137,40.4230944405444
"1424",2118997,5168404,14,"2005-08-28T02:26:00","S 20TH ST & JANE ST PITTSBURGH, PA 15203","N","South Side Flats","3","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",1702,3,4,-79.97781896,40.42678505
"1425",2123184,5185319,5,"2005-09-19T07:20:00","600 Block SHADY AV PITTSBURGH, PA ","N","Shadyside","4","BURGLARY/NO FORCE/RES","3502 Burglary.",708,8,2,-79.92147479,40.4535204
"1426",2929925,17138606,24,"2017-07-24T13:00:00","600 Block Noblestown RD Pittsburgh, PA 15220","N","Elliott","6","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",2020,2,5,-80.0396626050321,40.4372281556355
"1427",2963884,17242251,21,"2017-12-17T03:29:00","400 Block E Agnew AV Pittsburgh, PA 15210","Y","Carrick","3","DRIVING UNDER INFLUENCE","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%",2902,4,4,-79.9798954276184,40.3971841790404
"1428",2098145,5075953,6,"2005-05-05T15:50:00","3000 Block IOWA ST PITTSBURGH, PA ","N","Upper Hill","2","THEFT FROM AUTO","3304 Criminal Mischief. / 3934 Theft from Vehicle",506,6,3,-79.95856097,40.44878019
"1429",2092744,5054316,99,"2005-04-05T18:30:00","DYER ST & LANGTRY ST PITTSBURGH, PA ","Y","Bloomfield","1",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",2706,1,1,-80.02737149,40.47819565
"1430",2928546,17134512,99,"2017-07-17T18:42:00","6200 Block Auburn ST Pittsburgh, PA 15206","Y","Larimer","5",NA,"9501 Bench Warrant",1208,9,2,-79.9166504150041,40.466347107869
"1431",3052976,19008924,99,"2019-01-14T13:15:00","7000 Block Hamilton AV Pittsburgh, PA 15208","Y","Homewood South","5",NA,"9999 Miscellaneous Report (No Crime)",1303,9,2,-79.9021898717394,40.4557013748821
"1432",2911262,17080658,18,"2017-05-03T18:56:00","1600 Block Arlington AV Pittsburgh, PA 15210","Y","South Side Slopes","3","MARIJUANA-POSSESS","3704 Obstruction to Driving View or Mechanism. / 4581 Restraint Systems. / 9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount",1706,NA,NA,-79.9881973494827,40.418451832231
"1433",2904559,17059866,99,"2017-04-03T16:28:00","200 Block Elmore ST Pittsburgh, PA 15219","Y","Terrace Village","2",NA,"1501 Drivers Required to be Licensed. / 4703 Operation of Vehicle without Official Certif. of Inspection",511,6,3,-79.9753460868664,40.4418146708969
"1434",2979666,18037239,18,"2018-02-26T14:25:00","N Braddock AV & Thomas ST Pittsburgh, PA 15208","Y","Homewood South","4","OPIUM/COCAINE/DERV-POSSESS","13(a)(16) Possession of Controlled Substance / 4107(b)(2) Vehicle Equipment Standards",1303,9,2,-79.89388254,40.44886774
"1435",2097616,5074980,99,"2005-04-28T16:30:00","200 Block EDMOND ST PITTSBURGH, PA ","Y","Bloomfield","5",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",802,7,2,-79.94754987,40.46520812
"1436",2962874,17239722,14,"2017-12-13T08:00:00","Kathleen ST & Beltzhoover AV Pittsburgh, PA 15211","N","Mount Washington","3","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",1807,3,4,-79.9975268338584,40.4257230594023
"1437",3071130,19068840,4,"2019-04-14T02:04:00","6900 Block Kelly ST Pittsburgh, PA 15208","Y","Homewood West","5","AGG ASSAULT/KNIFE/INJURY","907 Possessing Instruments of Crime. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children.",1207,9,2,-79.9042703531247,40.4570626931039
"1438",2883872,17001107,6,"2016-06-30T23:59:00","100 Block Plymouth ST Pittsburgh, PA 15211","N","Duquesne Heights","3","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",1911,2,5,-80.0208076967172,40.4376917841191
"1439",2936203,17159357,6,"2017-08-22T00:01:00","3100 Block Banksville RD Pittsburgh, PA 15216","N","Banksville","6","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",2023,2,5,-80.0433255116484,40.3997888789278
"1440",2866295,16196804,6,"2016-10-18T04:30:00","1200 Block Clairhaven ST Pittsburgh, PA 15205","Y","Crafton Heights","6","THEFT FROM AUTO","3934 Theft from Vehicle",2815,2,5,-80.05244922,40.43975468
"1441",2137787,5238704,6,"2005-12-04T01:00:00","2200 Block LIBERTY AV PITTSBURGH, PA ","N","Squirrel Hill South","2","THEFT FROM AUTO","3304 Criminal Mischief. / 3934 Theft from Vehicle",202,7,6,-79.9820364,40.45166989
"1442",2852731,16154529,24,"2016-08-18T08:30:00","1300 Block Penn AV Pittsburgh, PA 15222","N","Strip District","2","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",203,7,6,-79.99079571,40.44644023
"1443",3087700,19122473,10,"2019-06-23T00:06:00","1300 Block Cordova RD Pittsburgh, PA 15206","Y","Highland Park","5","TERRORISTIC THREATS","2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ",1102,7,2,-79.9260048056568,40.4786234930562
"1444",3041764,18227743,15,"2018-11-18T20:06:00","300 Block Stadium ST Pittsburgh, PA 15204","Y","Sheraden","6","PROHIBITED OFFENSIVE WEAPONS","908 Prohibited Offensive Weapons. / 9999 Miscellaneous Report (No Crime)",2018,NA,NA,0,0
"1445",3006782,18123373,13,"2018-06-29T03:37:00","1200 Block Duffield ST Pittsburgh, PA 15206","N","Morningside","5","RECEIVING STOLEN PROPERTY","3925 Receiving Stolen Property. / 3745 Accidents Involving Damage to Unattended Veh.or Prop.",1014,7,2,-79.93146936,40.47979183
"1446",3018067,18154275,14,"2018-08-11T15:00:00","300 Block N Atlantic AV Pittsburgh, PA 15224","Y","Garfield","5","CRIMINAL MISCHIEF","3304 Criminal Mischief.",1017,9,2,-79.93783048,40.46669405
"1447",3039371,18218767,99,"2018-11-05T14:33:00","800 Block Phineas ST Pittsburgh, PA 15212","Y","East Allegheny","1",NA,"9999 (Misc. Crime)",2304,NA,NA,0,0
"1448",2956051,17216680,99,"2017-11-08T20:34:00","Blvd Of The Allies & Dawson ST Pittsburgh, PA 15213","N","Central Oakland","4",NA,"3742 Accidents Involving Death or Personal Injury",406,3,3,-79.9531912277354,40.4343834987384
"1449",2950778,17200851,5,"2017-10-17T16:25:00","200 Block E OHIO ST Pittsburgh, PA 15212","N","Allegheny Center","1","BURGLARY/NO FORCE/RES","3502 Burglary.",2204,1,1,-80.0036604292573,40.4530223875459
"1450",3099135,19160160,99,"2019-08-12T12:35:00","200 Block Blvd Of The Allies Pittsburgh, PA 15222","N","Central Business District","2",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",201,6,6,-80.0036105083247,40.4390666304999
"1451",2091507,5050475,18,"2005-03-31T08:00:00","4100 Block BIGELOW BL PITTSBURGH, PA ","Y","North Oakland","4","MARIJUANA-POSSESS","13(a)(31) Marijuana: Possession Small Amount",403,8,3,-79.95569528,40.44879126
"1452",2115857,5155284,24,"2005-08-12T15:00:00","2800 Block E CARSON ST PITTSBURGH, PA ","N","Golden Triangle/Civic Arena","3","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",1601,3,4,-79.96520372,40.4261867
"1453",2802492,16003123,99,"2016-01-06T08:55:00","100 Block Grasmere ST Pittsburgh, PA 15205","Y","Oakwood","6",NA,"9999 Miscellaneous Report (No Crime)",2812,2,5,-80.06551194,40.42795905
"1454",3070810,19063173,29,"2019-04-06T17:30:00","1400 Block Geyer AV Pittsburgh, PA 15212","Y","Marshall-Shadeland","1","RUNAWAYS - JUVENILE","9015 Failure To Appear/Arrest on Attachment Order / 029 Missing Juvenile",2715,NA,NA,0,0
"1455",2106005,5112729,99,"2005-06-20T21:30:00","WILLARD ST & S DALLAS AV PITTSBURGH, PA ","N","Point Breeze","4",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1406,9,3,-79.91143535,40.44697775
"1456",2818880,16053548,6,"2016-03-25T10:00:00","800 Block N.Sheridan AV Pittsburgh, PA 15206","N","Highland Park","5","THEFT/PROP-LOST/MISLAID/DEL","3921 Theft by Unlawful Taking or Disposition.",1106,9,2,-79.91868042,40.46902688
"1457",2842446,16123126,99,"2016-07-02T22:30:00","800 Block Brookline BL Pittsburgh, PA 15226","N","Brookline","6",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1918,4,4,-80.02002123,40.39351574
"1458",2812595,16031819,99,"2016-02-21T09:40:00","600 Block Pressley ST Pittsburgh, PA 15212","Y","East Allegheny","1",NA,"9497 Aided Case",2304,1,1,-79.99867635,40.45221085
"1459",3029150,18189904,11,"2018-09-26T15:40:00","5100 Block Butler ST Pittsburgh, PA 15201","N","Upper Lawrenceville","2","THEFT BY DECEPTION","3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud",1011,7,2,-79.95543682,40.47837327
"1460",3010438,18132008,6,"2018-07-12T00:15:00","P J Mc Ardle RDWY & Grandview AV Pittsburgh, PA 15211","N","Mount Washington","3","THEFT/PURSE SNATCH","3701 Robbery.",1903,2,5,-80.01293671,40.43535741
"1461",2866343,16192304,7,"2016-10-11T12:09:00","2400 Block Osgood ST Pittsburgh, PA 15214","N","Perry South","1","MTR VEH THEFT (AUTO)","5126 Flight to Avoid Apprehension, Trial or Punishment. / 3111 Obedience to Traffic-Control Devices. / 9125 Possible  Stolen Car Recovered / 3733 Fleeing or Attempting to Elude Police Officer / 3921(a) Theft by Unlawful Taking or Disposition - Movable item",2614,6,1,-80.00770516,40.46795842
"1462",2100906,5090218,99,"2005-05-24T08:45:00","1600 Block E OHIO ST PITTSBURGH, PA ","N","St. Clair","1",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",2403,1,1,-79.99452372,40.45487632
"1463",2089558,5042500,5,"2005-03-19T04:35:00","4700 Block LIBERTY AV PITTSBURGH, PA ","N","Bloomfield","5","BURGLARY/FORCE ENT/NON-RES","3502 Burglary.",809,7,2,-79.94990411,40.46203965
"1464",2823551,16067912,11,"2016-04-07T14:30:00","700 Block Blk.Montooth ST Pittsburgh, PA 15210","N","Beltzhoover","3","THEFT BY DECEPTION","3922 Theft by Deception.",1809,NA,NA,0,0
"1465",3097455,19155487,99,"2019-08-06T16:19:00","700 Block Mercer ST Pittsburgh, PA 15219","Y","Crawford-Roberts","2",NA,"9498 302 (Mental)",305,NA,NA,0,0
"1466",2920577,17110360,99,"2017-06-15T15:00:00","800 Block Freeport RD Pittsburgh, PA 15215","Y","Lincoln-Lemington-Belmar","5",NA,"9017 Found Drugs",1201,9,2,-79.8976142089354,40.4878235400117
"1467",2872094,16211761,26,"2016-11-09T14:53:00","300 Block N Negley AV Pittsburgh, PA 15206","Y","East Liberty","5","PROTECTIVE ORDERS","9093 Indirect Criminal Contempt",1115,9,2,-79.92903573,40.46575791
"1468",2883123,16242198,99,"2016-12-31T02:23:00","5800 Block East Liberty BL Pittsburgh, PA 15206","N","East Liberty","5",NA,"9496 Dead on Arrival (DOA)",1115,9,2,-79.92523163,40.46681633
"1469",2958486,17223496,6,"2017-11-17T17:30:00","6300 Block Shakespeare ST Pittsburgh, PA 15206","N","Shadyside","4","THEFT FROM BUILDING","3921 Theft by Unlawful Taking or Disposition.",708,8,2,-79.9214608318676,40.4588814500684
"1470",3081792,19104660,20,"2019-05-31T03:37:00","2300 Block Wurzell AV Pittsburgh, PA 15214","Y","Perry South","1","ENDANGER WELFARE OF CHILDREN","4304(a)(1) Enhanced Endangering Welfare of Children - Course of Conduct",2614,6,1,-80.0041155022496,40.4683325785256
"1471",2940414,17168269,6,"2017-09-02T16:00:00","300 Block 6th AV Pittsburgh, PA 15222","N","Central Business District","2","THEFT FROM BUILDING","3921(a) Theft by Unlawful Taking or Disposition - Movable item",201,6,6,-79.9994517535611,40.4416507426504
"1472",3054263,19012478,4,"2019-01-19T20:06:00","3100 Block Allendale ST Pittsburgh, PA 15204","N","Sheraden","6","DISCHARGE OF FIREARM INTO OCC.STRUCTURE","2702 Aggravated Assault. / 2707.1 Discharge of a Firearm into Occupied Structure",2022,2,5,-80.0599592944753,40.4543836689684
"1473",2858183,16171873,99,"2016-09-11T13:47:00","700 Block N Lang AV Pittsburgh, PA 15208","Y","Homewood South","5",NA,"9999 Miscellaneous Report (No Crime)",1303,9,2,-79.89918166,40.45603415
"1474",3001124,18100468,99,"2018-05-28T11:01:00","80 Block Briggs ST Pittsburgh, PA 15234","Y","Overbrook","3",NA,"7728 Accidents and Accident Reports.",3207,4,5,-80.00021762,40.3866627
"1475",2856115,16166288,5,"2016-09-03T02:00:00","300 Block Meyran AV Pittsburgh, PA 15213","N","Central Oakland","4","BURGLARY/NO FORCE/RES","3502 Burglary.",405,3,3,-79.95670299,40.43894379
"1476",2830937,16089550,6,"2016-05-16T08:37:00","1000 Block Bidwell ST Pittsburgh, PA 15233","N","Manchester","1","THEFT FROM AUTO","3304 Criminal Mischief.",2107,6,1,-80.02035278,40.4523323
"1477",2115164,5150843,3,"2005-08-06T18:32:00","HAMMOND ST & BREVEY WY PITTSBURGH, PA ","N","Carrick","3","ROBBERY/HIGHWAY/GUN","3701 Robbery.",2005,NA,NA,0,0
